Scenario,S&P500,FTSE 100,CAC 40,Nikkei 225
424,6003.29367,6722.285317,14442.21488,331.9060667
425,6817.209386,7286.378603,15321.14087,347.6993843
426,6179.143625,7082.081427,15341.64137,328.1568014
427,5879.562694,6441.798893,13566.34272,328.4155528
428,7101.627022,7114.6942,15717.57242,321.0316433
429,5717.911439,6693.907515,14608.38805,327.0979714
430,6885.82389,7294.377283,15993.35319,343.8574783
431,6159.47153,7208.697092,14424.61459,332.5192506
432,6527.186462,6871.432746,15878.87231,335.390636
433,6033.482849,7224.827838,15392.95759,342.2953594
434,7106.359581,7342.47451,16968.10398,365.2014584
435,6571.093981,7978.652126,16292.24523,368.5302121
436,6901.898795,7439.917573,16058.84178,327.3004044
437,6277.314992,7337.941031,15100.30645,361.0455667
438,6714.94332,7329.445603,15793.04203,345.1514747
439,6392.784612,7468.826225,15450.81778,337.0463001
440,6209.428175,7104.584891,14867.50973,328.2175709
441,6645.535051,7192.4738,15487.95148,338.1322026
442,6398.66903,7264.114321,15147.73969,339.6851338
443,6953.108075,7177.694955,16196.35729,354.2548482
444,6485.796025,7491.079081,15865.24785,347.5473403
445,6718.961395,7322.846047,15687.66037,350.7792011
446,6591.088942,7400.87661,15719.08463,341.0305622
447,6628.036659,7461.240962,15684.46798,351.3778137
448,6353.433,7057.854866,15041.26071,342.1178737
449,6533.965344,7201.724858,15414.24245,335.8828939
450,6670.466537,7301.542898,16003.45902,351.6781853
451,6379.969647,7357.081587,15653.88419,338.9551791
452,6297.049895,7144.576166,14959.02812,335.2636953
453,6645.281301,7170.993955,15722.12196,339.3156277
454,6493.172331,7396.792796,15610.89894,346.9260053
455,6586.709874,7265.672568,15292.74798,339.5254994
456,6591.837814,7293.18453,16005.40799,351.8299191
457,6462.127918,7393.967246,15766.24176,342.4806161
458,6607.851628,7361.654794,15623.83892,351.5269005
459,6429.984084,7125.310191,15265.35995,334.5391848
460,6608.219091,7364.930023,15580.10379,352.0442681
461,6363.757238,7221.954117,15440.4644,339.5527834
462,6383.160536,7186.832815,15149.51148,341.7029968
463,6572.390754,6972.233046,15250.97598,336.7126875
464,6522.339157,7353.500031,15532.77314,342.7356119
465,6701.54061,7239.662073,16364.0131,344.1593743
466,6428.62779,7532.6235,15535.11148,346.5208589
467,6605.52246,7283.976846,15693.90918,343.3479325
468,6446.070419,7299.821689,15439.99348,341.9964069
469,6512.550359,7107.415226,15494.7956,339.1554454
470,6576.082119,7370.704468,16032.37606,356.6401549
471,6592.586079,7425.65581,15933.07428,345.0216677
472,6483.209473,7306.080862,15866.26227,348.9766388
473,6528.416361,7188.809116,15379.46767,341.9072496
474,6520.829895,7290.38498,15824.69497,344.6892785
475,6549.676463,7443.514742,15870.30254,346.6085102
476,6585.465848,7375.23854,16157.80172,342.4125767
477,6475.674832,7361.617687,15572.73357,342.6546629
478,6666.500241,7305.559335,16262.77548,344.0680083
479,6574.472325,7416.397628,15450.64538,345.1850678
480,6445.932004,7149.733804,15280.13423,344.5784798
481,6461.651745,7205.631573,15449.61751,344.4601427
482,6113.977841,7010.453869,14852.5141,334.9047169
483,6582.948561,7080.115525,15510.52278,340.0308222
484,6550.363112,7166.59391,15415.41791,328.5742984
485,6619.433945,7468.093276,16103.47779,358.2014125
486,6472.748803,7425.607067,15577.36949,340.2690152
487,6500.2362,7180.945391,15393.4561,342.129138
488,6460.643244,7227.797523,15561.02969,343.5307108
489,6538.333727,7210.773154,15398.74453,341.9406257
490,6524.145126,7367.718627,15914.72421,343.4876017
491,6328.22265,7127.82932,15130.93545,343.2952973
492,6567.666072,7081.269362,15605.8183,335.910955
493,6338.838825,7404.354974,15472.51459,345.5098291
494,6592.346233,7178.050833,15683.16712,334.4492094
495,6596.769085,7264.878263,15540.18582,345.364359
496,6528.959872,7227.170545,15501.42012,338.1970365
497,6527.075699,7393.470528,15950.46214,344.3744748
